school_id,school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,alp_domain,alp_title,llp_domain1,llp_title1,llp_domain2,llp_title2
10,ANG MO KIO PRIMARY SCHOOL,http://www.angmokiopri.moe.edu.sg,20   ANG MO KIO AVENUE 3,569920,64520794,na,64588121,na,AMKPS@MOE.EDU.SG,Ang Mo Kio MRT Station,"76,132,165,166,169,200,000,000",MRS LIM BEE LAY,MR KYAW SAW LYNN,MDM TAN SIEW KHIM (CHEN XIUQIN),,,,,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,,Community Service & Student Leadership,AMKP Leadership-Inspired Values Education (ALIVE),,
11,ANG MO KIO SECONDARY SCHOOL,http://www.angmokiosec.moe.edu.sg,6    ANG MO KIO STREET 22,569362,64548605,na,64582425,na,AMKSS@MOE.EDU.SG,ANG MO KIO MRT,"13, 74, 76, 88, 130, 132, 133, 136, 165, 169, 265, 268, 269, 851, 852",MR SHAW SWEE TAT,MDM TONG WAI HAN,MDM LEE KEE CHIN,,,,,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,STEM,Environment Science & Technology,Music & Performing Arts,Integrated Arts Programme,,
12,ANGLICAN HIGH SCHOOL,http://www.anglicanhigh.moe.edu.sg,600  UPPER CHANGI ROAD,487012,62414866,na,64414690,na,AHS@MOE.EDU.SG,TANAH MERAH MRT,"2, 9, 12, 14, 24, 31, 35, 38, 45, 47, 48",MR KHOO TSE HORNG,MR GOH CHIN WEI,MR CHIN LIH KEONG,,,,,BEDOK,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na,,,,,,
13,ANGLO-CHINESE JUNIOR COLLEGE,http://www.acjc.edu.sg,25   DOVER CLOSE EAST,139745,67750511,na,67775479,na,acjc@acjc.edu.sg,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",DR CHEE YAN HOON SHIRLEEN,MDM SEOW HONG KIANG,"MISS LIM MEI LIN, AUDREY",,,,,QUEENSTOWN,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,,,,,,
14,ANGLO-CHINESE SCHOOL (BARKER ROAD),http://www.acsbr.moe.edu.sg,60   BARKER ROAD,309919,62561633,na,62561366,na,acsbr@moe.edu.sg,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 960, 972",MR LOO MING YAW,MRS AW MENG YIN,MR TAN WHYE WEE JEFFREY,,,,,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Languages & Humanities,"Developing Effective Communicators through Drama, Debates and Public Speaking",Sports & Outdoor Education,"Building Character through Sports (Basketball, Rugby, Tennis and Water Polo) & Outdoor Education",,
15,ANGLO-CHINESE SCHOOL (INDEPENDENT),http://www.acsindep.moe.edu.sg,121  DOVER ROAD,139650,67731633,na,67731433,na,ACIS@MOE.EDU.SG,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MR KOH SUNG- YI ARENE,MRS TEO LAI CHENG JUDY-HO,MISS CHOCK SIEW HWA,MDM YONG LEE HAR,MR SOO MUN KEONG PATRICK,MR CHIEW TECK TZER TERENCE,DR YONG YUN LEONG ANDREW,QUEENSTOWN,SOUTH,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,No,No,Yes,Yes,Chinese,Malay,Tamil,,,,,,
16,ANGLO-CHINESE SCHOOL (JUNIOR),www.acsj.moe.edu.sg,16   WINSTEDT ROAD,227988,67337911,67337912,67346518,na,acjs@moe.edu.sg,Newton MRT Station,"5, 54, 124, 143, 162, 162M, 167, 167e, 518, 518A, 972M",MRS CHAILLAN MUI TUAN,MR CHIA CHEE WENG RICHARD CHRIS,,,,,,CENTRAL,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Interdisciplinary,Creative Thinkers,Sports & Outdoor Education,"All for Sports, Sports for All @ ACS (Junior)",,
17,ANGLO-CHINESE SCHOOL (PRIMARY),http://www.acspri.moe.edu.sg/,50   BARKER ROAD,309918,62501633,na,63531366,na,acps@moe.edu.sg,Newton MRT Station,"Bus 48, 66, 67, 170, 603, 972M",DR NG SIEW PENG IRENE,MDM CHOH THIAN JENG CELIA,MR CHUA THIAN KEONG,,,,,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Chinese,Malay,Tamil,,,Sports & Outdoor Education,Building Character Through Sports,Music & Performing Arts/ Visual Arts & Design,The Arts at ACS(P)
18,ANGSANA PRIMARY SCHOOL,www.angsanapri.moe.edu.sg,3    Tampines Street 22,529366,67830427,na,67845293,na,angsana_pri@moe.edu.sg,Tampines and Simei Stations,"Bus Service 8, 17, 18, 20, 28, 34, 39, 59, 518, Feeder Bus Service 292",MISS FOONG YIN WEI,MR BHIMBAHADUR GURUNG,,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Coding,Nurturing Problem Solvers through Computational Thinking,Community Service & Student Leadership,Nurturing and Developing 21st Century Leaders through Enrichment and Lifeskills (ENL) Programmes,,
19,ASSUMPTION ENGLISH SCHOOL,http://www.assumptionenglish.moe.edu.sg,622  UPPER BUKIT TIMAH ROAD,678117,65729100,na,67636560,na,AES@MOE.EDU.SG,CASHEW MRT,"67, 75, 170, 176, 178, 184, 961, 963, 970",MR KWOK CHIN POH BENJAMIN,MISS WONG KER SIN,,,,,,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Languages & Humanities,Speak English with grAce and Knowledge (SPEAK),Community & Youth Leadership,Community and Youth Leadership,,
20,ASSUMPTION PATHWAY SCHOOL,http://www.aps.edu.sg,30   Cashew Road,679697,62793000,na,67622857,na,aps@schools.gov.sg,"DOWNTOWN LINE 2, CASHEW MRT","SBS Transit No 170    SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",MR STEPHEN CHIN,MR SHASHIDARAN S/O KANESON,,,,,,BUKIT PANJANG,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,,,,,
21,BARTLEY SECONDARY SCHOOL,http://www.bartleysec.moe.edu.sg,10   JALAN BUNGA RAMPAI,538403,62889013,na,62805595,na,bartley_ss@moe.edu.sg,"BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158",MR MOHD AZHAR B TERIMO,MRS TAN CHYE NA,MR NG CHOR YAM,,,,,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,STEM,Chemical and Life Sciences (Perfumery),Community & Youth Leadership,i-LEAD @ Bartley (Leadership Experience and Development),,
22,BEACON PRIMARY SCHOOL,https://beaconpri.moe.edu.sg/,36   Bukit Panjang Ring Road,679944,67697255,na,67697244,na,beaconprisch@moe.edu.sg,"Bangkit LRT, Fajar LRT Station","920, 922, 971, 972, 972A, 972M, 976",MISS PANG WEE MIAN,MR ONG HONG GHEE,MDM LELA BTE SHAMSUHADI,,,,,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Science,Stimulating Senses Through Science (S3),Community Service & Student Leadership,Beacons At Your Service,,
23,BEATTY SECONDARY SCHOOL,http://www.beattysec.moe.edu.sg,1    TOA PAYOH NORTH,318990,62569108,na,62542284,na,BEATTY_SS@MOE.EDU.SG,"BRADDELL MRT, TOA PAYOH MRT","28, 56, 73, 88, 93, 105, 153, 155, 157, 159, 163, 231, 232",MR LING KHOON CHOW,MR LIM SOON WAI,,,,,,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,STEM,Beattyians Think. Create. Innovate,Community & Youth Leadership,Beatty's Leaders for Life Programme,,
24,BEDOK GREEN PRIMARY SCHOOL,http://www.bedokgreenpri.moe.edu.sg,1    BEDOK SOUTH AVE 2,469317,64425416,na,64491491,na,bgps@moe.edu.sg,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",MR YONG YIK YEN BENJAMIN,MDM SHARIFAH FAIRUZ BTE S Y A,MR YEO SHO HOR,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Interdisciplinary,Environmental Education (E2@BGPS),Sports & Outdoor Education,Sports to Reinforce Values Education or STRIVE @ BGPS,,
25,BEDOK GREEN SECONDARY SCHOOL,http://www.bedokgreensec.moe.edu.sg,360  BEDOK NORTH AVE 3,469722,64463301,na,64465969,na,BGSS@MOE.EDU.SG,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",MR BOY ENG SENG,MS FOO SHEUE FENG (FU XUEFENG),MISS SAKINAH BINTE MOHAMED SARIP,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,STEM,ilnquire. ilnnovate. Developing scientific thinking and inquiry skills through real-life applications,Music & Performing Arts,PAssion Programme,,
26,BEDOK SOUTH SECONDARY SCHOOL,http://www.bedoksouthsec.moe.edu.sg,1    JALAN LANGGAR BEDOK,468585,64414479,na,64491314,na,bsss@moe.edu.sg,TANAH MERAH MRT,"10, 14, 45",MR TEOH TEIK HOE,MISS AZLINDA BTE SAMSUDIN,MISS TAN PO CHIN,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Interdisciplinary,Project S.H.I.N.E -- An Integrated Student-Centred and Holistic Programme that Develops Innovation and Nurtures Empathy,Sports & Outdoor Education,SHAPE @ BDS: A School of Healthy And Physically Educated Enthusiasts,,
27,BEDOK VIEW SECONDARY SCHOOL,http://www.bedokviewsec.moe.edu.sg,6    BEDOK SOUTH AVENUE 3,469293,64430563,na,64494286,na,bedokview_ss@moe.edu.sg,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506",MDM TEO YVONNE,MDM CH'NG YUEN PING,MR LAWRENCE KOH,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Languages & Humanities,Global Awareness for the 21st Century @ BV,Community & Youth Leadership,Good Values @ BV,,
28,BENDEMEER PRIMARY SCHOOL,http://www.bendemeerpri.moe.edu.sg/,91   BENDEMEER ROAD,339948,62982911,na,62995735,na,BENDEMEER_PS@MOE.EDU.SG,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",MDM LIM KIM GEK,MRS SANTHI RAVINDRAN,,,,,,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,,Community Service & Student Leadership,"Developing Bendemeerians to be Confident Leaders, Rooted in Values",Music & Performing Arts,Bendemeer?s TEMPO (Towards Enhancement of Music and Performing Arts Opportunities)
29,BENDEMEER SECONDARY SCHOOL,http://www.bendemeersec.moe.edu.sg,1    ST WILFRED ROAD,327919,62927616,na,62932594,na,BENDEMEER_SS@MOE.EDU.SG,BOON KENG MRT,"13,  23,  31,  64,  65,  66, 125, 133, 140, 147, 857, 985",MR CHEN FOOK PANG,MR LAWRENCE POON YEW LEE,MR HO CHI CHENG,,,,,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,STEM,Making Health Science Alive through Authentic Problem-Based Learning,Community & Youth Leadership,Developing Student Leadership Through Service Learning,,
30,BLANGAH RISE PRIMARY SCHOOL,http://www.blangahrisepri.moe.edu.sg/,91   TELOK BLANGAH HEIGHTS,109100,62717387,na,62763037,na,BRPS@MOE.EDU.SG,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,MR FRANCIS FOO,MDM ONG AI SIAN,MRS LEONG-HO HIL MAY,,,,,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,STEM,Aspiring Confident Engineers (ACE)@BRPS,Sports & Outdoor Education,"The RISE3 (Explore, Empower, Enrich) Outdoor Experience",,
31,BOON LAY GARDEN PRIMARY SCHOOL,www.boonlaygardenpri.moe.edu.sg,20   BOON LAY DRIVE,649930,63160998,na,63160209,na,BLGPS@MOE.EDU.SG,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",MDM CHRISTINE LIM MIN HUI,MDM HOONG WHEE SIEN,,,,,,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Interdisciplinary,Thinking curriculum through Habits of Mind @ BLGPS - Developing Self-directed Learners,Community Service & Student Leadership,Environment Education at Boon Lay Garden Primary School,,
32,BOON LAY SECONDARY SCHOOL,https://www.boonlaysec.moe.edu.sg,11   JURONG WEST STREET 65,648354,67940161,na,67941324,na,BLSS@MOE.EDU.SG,BOON LAY MRT,"99, 181, 192, 193, 242, 243, 257, 502, 502A",MR INDERJIT SINGH,MR ABDULATTIF S/O ABDULLAH,MISS SHARON SHEN QIUHUA,,,,,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,STEM,Exploring Possibilities in Materials Science,Music & Performing Arts,Music & Performing Arts,,
33,BOWEN SECONDARY SCHOOL,http://www.bowensec.moe.edu.sg,2    LORONG NAPIRI,547529,63859466,na,63856559,na,BOWEN_SS@MOE.EDU.SG,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT","43, 70, 73, 103, 109, 156, 854, 25, 74, 74E, 76, 112, 132, 147, 165, 55",MR LIU EARNLER,MISS LIM GUIHAO,MR TAY YONG SEAH MELVIN,,,,,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Business & Entrepreneurship,"Nurturing Creativity, Empathy and Enterprise through Social Entrepreneurship",Community & Youth Leadership,Bowen ChANgemakers Programme,,
34,BROADRICK SECONDARY SCHOOL,http://www.broadricksec.moe.edu.sg,61   DAKOTA CRESCENT,399935,63445025,na,64471427,na,BROADRICK_SS@MOE.EDU.SG,DAKOTA MRT,"10, 16, 30, 31, 32, 33",MDM TAN LAY HONG,MDM SUTINAH BINTE TAIB,"MR QUEK POH BENG, KENNETH",,,,,GEYLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,STEM,Broadrick Entrepreneurship in STEM,Community & Youth Leadership,"Confidence And REsilience (CARE) though Aesthetics, Community and Youth Leadership",,
35,BUKIT BATOK SECONDARY SCHOOL,http://www.bukitbatoksec.moe.edu.sg,50   BUKIT BATOK WEST AVE 8,658962,65663121,na,65607006,na,bbss@moe.edu.sg,BUKIT BATOK MRT,"66, 66B, 157, 174, 174E, 178, 506, 941, 991",MR PHUA HUAT CHUAN,MR MAK YEW CHONG,MR WU TIAN HWEE,,,,,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,STEM,Developing Proactive Problem-Solvers who care for our World through STEM,Community & Youth Leadership,Developing Community Youth Leadership through VIA - Journey to Become RESPECTful Leaders,,
36,BUKIT MERAH SECONDARY SCHOOL,http://www.bukitmerahsec.moe.edu.sg,10   LENGKOK BAHRU,159050,64748934,na,64744122,na,bmss@moe.edu.sg,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",MR CHENG GHEE HOCK TIMOTHY,MR KOH YONG HWEE DARYL,MDM YAP SHARON,,,,,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,STEM,Creative Robotics and Engineering,Sports & Outdoor Education,Character Development & Leadership through Sports,,
37,BUKIT PANJANG GOVT. HIGH SCHOOL,http://www.bpghs.moe.edu.sg,7    CHOA CHU KANG AVE 4,689809,67691031,na,67626576,na,BPGHS@MOE.EDU.SG,CHOA CHU KANG MRT,"300, 983",MR CHUA LEK HONG,MR LING TING LIANG EDMUND,,,,,,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,,,,,,
38,BUKIT PANJANG PRIMARY SCHOOL,http://www.bukitpanjangpri.moe.edu.sg,109  CASHEW ROAD,679676,67691912,na,67637462,na,BPPS@MOE.EDU.SG,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",MR BUCKTHA SEELAN,MDM KAY HWEE GEAK,,,,,,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,,Music & Performing Arts,i2 Can Dance!,,
39,BUKIT TIMAH PRIMARY SCHOOL,http://www.bukittimahpri.moe.edu.sg,111  Lorong Kismis,598112,64662863,na,64692179,na,bukittimahps@moe.edu.sg,"Beauty World, Bukit Batok and Clementi Stations",173,MDM LEN LENG LENG TERESA KELLY,MR WONG SUNG LAI,MDM KITHA D/O ARUMUGAM,,,,,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Interdisciplinary,Inquiry-based Learning Supported by Thinking Routines,Music & Performing Arts,Music for Everyone - Building Empathy and Resilience,,
40,BUKIT VIEW PRIMARY SCHOOL,http://www.bukitviewpri.moe.edu.sg,18   BUKIT BATOK STREET 21,659634,65661980,na,65635015,na,bukitview_ps@moe.edu.sg,Bukit Batok MRT Station,"173,157,178,852,66,106,61,506,963,77",MDM KOH YUEN CHOO,MDM TEO ENG HUI,,,,,,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Interdisciplinary,"Developing Thinkers, Collaborators and Communicators",Music & Performing Arts,Nurturing Values and Character through Aesthetics,,
41,BUKIT VIEW SECONDARY SCHOOL,https://www.bukitviewsec.moe.edu.sg,16   BUKIT BATOK STREET 21,659633,65661990,na,65630945,na,BUKITVIEW_SS@MOE.EDU.SG,BUKIT BATOK MRT,"61, 66, 77, 106, 157, 173, 174, 178, 189, 506, 653, 852, 963, 990",MR KEVIN ANG,MISS WONG KAH WAI SHIRLEY,MR ANG CHERN KWANG KYRIS,,,,,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,STEM,Clean Energy and Environmental Technology,Music & Performing Arts,"Learning the Arts, Living the Values",,
42,CANBERRA PRIMARY SCHOOL,http://www.canberrapri.moe.edu.sg,21   ADMIRALTY DRIVE,757714,67597433,na,67587312,na,CANBERRA_PS@MOE.EDU.SG,Sembawang MRT Station,Bus No. 859,MR WONG POO MUN,MS HO STEPHANIE LOUISE,MR SHAH JAHAN B MOHAMED IQBAL,,,,,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,ICT & Media,"Start Young, Start It Right ? Curating My Learning",Music & Performing Arts,Immersing in Canberra Experience through Musical Theatre Education,,
