school_section,cca_grouping_desc,cca_generic_name,cca_customized_name,school_id
PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na,5
PRIMARY,CLUBS AND SOCIETIES,CHEERLEADING,na,5
PRIMARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL,6
PRIMARY,PHYSICAL SPORTS,NETBALL,na,6
PRIMARY,PHYSICAL SPORTS,WUSHU,WUSHU,6
PRIMARY,PHYSICAL SPORTS,FLOORBALL,FLOORBALL,6
PRIMARY,UNIFORMED GROUPS,SCOUTS,na,6
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,6
PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG ENSEMBLE,6
PRIMARY,VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,HANDBELLS ENSEMBLE,6
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,MODERN DANCE,6
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,6
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na,6
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),DIGITAL MEDIA,6
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,DRAMA,6
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DRUMS,FESTIVE DRUMS,6
PRIMARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,na,6
PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na,6
PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,na,7
PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na,7
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE ENSEMBLE,7
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,7
PRIMARY,PHYSICAL SPORTS,BASKETBALL,na,7
PRIMARY,PHYSICAL SPORTS,FOOTBALL,SOCCER,7
PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na,7
PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,na,7
PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,GUITAR,7
PRIMARY,VISUAL AND PERFORMING ARTS,BRASS BAND,BRASS BAND,7
PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG,7
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ENGLISH DRAMA CLUB,7
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,7
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na,7
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM CLUB,7
SECONDARY,OTHERS,STUDENT LEADERSHIP (COUNCIL),na,8
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,8
SECONDARY,PHYSICAL SPORTS,NETBALL,na,8
SECONDARY,PHYSICAL SPORTS,FOOTBALL,na,8
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na,8
SECONDARY,PHYSICAL SPORTS,WUSHU,na,8
SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na,8
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,8
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,8
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,8
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,8
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na,8
SECONDARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na,8
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ANDERSON THEATRE CIRCLE,8
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,8
SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,8
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na,8
SECONDARY,CLUBS AND SOCIETIES,BIOLOGICAL SCIENCE,ANDERSON SCIENCE ACADEMY,8
SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,na,8
SECONDARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na,8
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na,9
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na,9
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na,9
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,HARMONICA ENSEMBLE,na,9
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,STAGEWORKS,9
JUNIOR COLLEGE,CLUBS AND SOCIETIES,AUDIO VISUAL AID,AVA CLUB,9
JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,DEBATE & CREATIVE COMMUNICATIONS,9
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,PHOTOGRAPHY,PHOTOGRAPHIC SOCIETY,9
JUNIOR COLLEGE,CLUBS AND SOCIETIES,SCIENCE SOCIETY,STEM INC,9
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,VISUAL ARTS CLUB,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,SHOOTING,SHOOTING,9
JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,HOCKEY,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,SQUASH,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,TAEKWONDO,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na,9
JUNIOR COLLEGE,PHYSICAL SPORTS,FRISBEE,na,9
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE SOCIETY,9
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,POP AND JAZZ,MUSIC CLUB,9
JUNIOR COLLEGE,CLUBS AND SOCIETIES,"CHINESE LANGUAGE, DRAMA AND DEBATING",CLDDS,9
JUNIOR COLLEGE,CLUBS AND SOCIETIES,"INDIAN LANGUAGE, DRAMA AND DEBATING",TLDDS,9
JUNIOR COLLEGE,PHYSICAL SPORTS,TOUCH RUGBY,TOUCH FOOTBALL,9
JUNIOR COLLEGE,PHYSICAL SPORTS,OUTDOOR ADVENTURE,ODAC,9
JUNIOR COLLEGE,PHYSICAL SPORTS,ROCKWALL CLIMBING,SPORTS CLIMBING,9
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CONCERT BAND,SYMPHONIC BAND,9
JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE (FIRST AID),RED CROSS YOUTH,9
JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE,INTERACT CLUB,9
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,10
PRIMARY,PHYSICAL SPORTS,NETBALL,na,10
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na,10
PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na,10
PRIMARY,UNIFORMED GROUPS,RED CROSS YOUTH,na,10
PRIMARY,VISUAL AND PERFORMING ARTS,BRASS BAND,na,10
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,10
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,10
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,10
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na,10
PRIMARY,PHYSICAL SPORTS,BASKETBALL,na,10
PRIMARY,PHYSICAL SPORTS,FOOTBALL,na,10
PRIMARY,UNIFORMED GROUPS,SCOUTS,na,10
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),na,10
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,11
SECONDARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,Environmental Club,11
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,11
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,11
SECONDARY,PHYSICAL SPORTS,NETBALL,na,11
SECONDARY,PHYSICAL SPORTS,FOOTBALL,na,11
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na,11
SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na,11
SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,na,11
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,11
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,11
SECONDARY,UNIFORMED GROUPS,RED CROSS YOUTH,na,11
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (AIR),na,11
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,11
SECONDARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,MALAY DANCE,11
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,Drama Club,11
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,Symphonic Band,11
SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,11
SECONDARY,CLUBS AND SOCIETIES,AUDIO VISUAL AID,AV MEDIA CLUB,11
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,12
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,CHINESE ORCHESTRA,12
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,12
SECONDARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,GUITAR ENSEMBLE,12
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE SOCIETY,12
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DRAMA,CHINESE DRAMA,12
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ENGLISH DRAMA,12
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,CONCERT BAND,12
SECONDARY,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,SPEAKERS' CLUB,12
SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,na,12
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na,12
SECONDARY,UNIFORMED GROUPS,SCOUTS,na,12
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,12
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,12
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na,12
SECONDARY,PHYSICAL SPORTS,WUSHU,na,12
SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,na,12
SECONDARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na,12
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,12
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,12
SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,na,12
SECONDARY,CLUBS AND SOCIETIES,ENTREPRENEURSHIP,na,12
JUNIOR COLLEGE,CLUBS AND SOCIETIES,LIBRARY COUNCIL,LIBRARY,13
JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,CANOEING,CANOEING,13
JUNIOR COLLEGE,PHYSICAL SPORTS,CROSS COUNTRY,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,HOCKEY,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,RUGBY,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,FOOTBALL,13
JUNIOR COLLEGE,PHYSICAL SPORTS,SQUASH,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,SWIMMING,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,TRACK AND FIELD,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,WATER POLO,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na,13
JUNIOR COLLEGE,PHYSICAL SPORTS,BOWLING,BOWLING,13
JUNIOR COLLEGE,PHYSICAL SPORTS,GOLF,na,13
JUNIOR COLLEGE,UNIFORMED GROUPS,BOYS' BRIGADE,na,13
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,CHINESE ORCHESTRA,13
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na,13
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,STRING ENSEMBLE,na,13
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,13
JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,DEBATE AND ORATORICAL SOCIETY,13
JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE (FIRST AID),FIRST-AID UNIT,13
JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE (ROTARY-SPONSORED),INTERACT CLUB,13
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,PHOTOGRAPHY,PHOTOGRAPHIC SOCIETY,13
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),MEDIA RESOURCE,14
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,14
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,14
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,14
SECONDARY,PHYSICAL SPORTS,HOCKEY,na,14
SECONDARY,PHYSICAL SPORTS,RUGBY,na,14
SECONDARY,PHYSICAL SPORTS,FOOTBALL,na,14
SECONDARY,PHYSICAL SPORTS,SWIMMING,na,14
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na,14
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na,14
SECONDARY,PHYSICAL SPORTS,TENNIS,na,14
SECONDARY,PHYSICAL SPORTS,WATER POLO,na,14
SECONDARY,PHYSICAL SPORTS,FLOORBALL,na,14
SECONDARY,PHYSICAL SPORTS,BOWLING,na,14
SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,na,14
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,14
SECONDARY,UNIFORMED GROUPS,SCOUTS,na,14
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (SEA),na,14
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na,14
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,14
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,DRAMA,14
SECONDARY,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,DEBATES,14
SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,na,14
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE,14
SECONDARY,CLUBS AND SOCIETIES,PUBLICATION,DIGITAL MEDIA,14
PRIMARY,VISUAL AND PERFORMING ARTS,STRING ENSEMBLE,STRING ORCHESTRA,16
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,JUNIOR VIBEZ,16
PRIMARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,CONCERT BAND,16
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,16
PRIMARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,CHESS CLUB,16
PRIMARY,CLUBS AND SOCIETIES,PHYSICAL SCIENCE,SCIENCE CLUB,16
PRIMARY,PHYSICAL SPORTS,BADMINTON,BADMINTON,16
PRIMARY,PHYSICAL SPORTS,RUGBY,RUGBY,16
PRIMARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL,16
PRIMARY,PHYSICAL SPORTS,SAILING,SAILING,16
PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,TABLE TENNIS,16
PRIMARY,PHYSICAL SPORTS,TENNIS,TENNIS,16
PRIMARY,PHYSICAL SPORTS,BOWLING,TEN-PIN BOWLING,16
PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,THE BOYS' BRIGADE,16
PRIMARY,UNIFORMED GROUPS,SCOUTS,CADET SCOUTS,16
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR,16
PRIMARY,PHYSICAL SPORTS,BOWLING,BOWLING,17
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),COMPUTER CLUB,17
PRIMARY,PHYSICAL SPORTS,BADMINTON,BADMINTON,17
PRIMARY,PHYSICAL SPORTS,BASKETBALL,na,17
PRIMARY,PHYSICAL SPORTS,RUGBY,RUGBY,17
PRIMARY,PHYSICAL SPORTS,FOOTBALL,na,17
PRIMARY,PHYSICAL SPORTS,SOFTBALL,na,17
PRIMARY,PHYSICAL SPORTS,SWIMMING,na,17
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na,17
PRIMARY,PHYSICAL SPORTS,TENNIS,na,17
PRIMARY,PHYSICAL SPORTS,FLOORBALL,na,17
PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,BOYS' BRIGADE,17
PRIMARY,UNIFORMED GROUPS,SCOUTS,na,17
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,17
PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na,17
PRIMARY,VISUAL AND PERFORMING ARTS,STRING ENSEMBLE,na,17
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,SYNERGY,17
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,17
PRIMARY,CLUBS AND SOCIETIES,AUDIO VISUAL AID,PA CLUB,17
PRIMARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,CHESS CLUB,17
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na,17
PRIMARY,CLUBS AND SOCIETIES,PHYSICAL SCIENCE,SCIENCE CLUB,17
PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),na,18
PRIMARY,PHYSICAL SPORTS,BADMINTON,BADMINTON,18
PRIMARY,PHYSICAL SPORTS,NETBALL,NETBALL,18
PRIMARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL,18
PRIMARY,PHYSICAL SPORTS,WUSHU,WUSHU,18
PRIMARY,UNIFORMED GROUPS,RED CROSS YOUTH,RED CROSS,18
PRIMARY,UNIFORMED GROUPS,SCOUTS,SCOUTS,18
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR,18
PRIMARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,CONCERT BAND,18
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFORMATION COMMUNICATION CLUB,18
PRIMARY,CLUBS AND SOCIETIES,PHYSICAL SCIENCE,YOUNG EXPLORERS,18
SECONDARY,UNIFORMED GROUPS,RED CROSS YOUTH,RED CROSS YOUTH,19
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,19
